,colgadas
0,322.0
1,315.0
2,362.0
3,346.0
4,337.0
5,345.0
6,320.0
7,296.0
8,364.0
9,314.0
10,310.0
11,351.0
12,367.0
13,317.0
14,354.0
15,362.0
16,343.0
17,318.0
18,323.0
19,331.0
20,358.0
21,317.0
22,310.0
23,319.0
24,360.0
25,302.0
26,324.0
27,339.0
28,298.0
29,313.0
30,319.0
31,338.0
32,311.0
33,322.0
34,297.0
35,357.0
36,364.0
37,333.0
38,367.0
39,347.0
40,326.0
41,329.0
42,329.0
43,356.0
44,355.0
45,335.0
46,336.0
47,300.0
48,340.0
49,328.0
50,343.0
51,365.0
52,330.0
53,346.0
54,326.0
55,308.0
56,346.0
57,330.0
58,359.0
59,316.0
60,332.0
61,304.0
62,292.0
63,325.0
64,319.0
65,315.0
66,313.0
67,315.0
68,329.0
69,336.0
70,345.0
71,326.0
72,310.0
73,331.0
74,308.0
75,326.0
76,312.0
77,347.0
78,315.0
79,322.0
80,294.0
81,326.0
82,319.0
83,367.0
84,338.0
85,310.0
86,345.0
87,362.0
88,326.0
89,325.0
90,310.0
91,284.0
92,370.0
93,321.0
94,325.0
95,315.0
96,337.0
97,312.0
98,317.0
99,357.0
100,359.0
101,314.0
102,351.0
103,377.0
104,331.0
105,325.0
106,332.0
107,322.0
108,317.0
109,322.0
110,311.0
111,377.0
112,304.0
113,309.0
114,302.0
115,344.0
116,323.0
117,344.0
118,342.0
119,318.0
120,318.0
121,304.0
122,327.0
123,375.0
124,300.0
125,312.0
126,323.0
127,309.0
128,305.0
129,347.0
130,314.0
131,349.0
132,332.0
133,365.0
134,315.0
135,339.0
136,322.0
137,315.0
138,320.0
139,271.0
140,327.0
141,322.0
142,338.0
143,344.0
144,318.0
145,334.0
146,309.0
147,341.0
148,350.0
149,324.0
150,332.0
151,339.0
152,310.0
153,335.0
154,340.0
155,320.0
156,328.0
157,303.0
158,332.0
159,311.0
160,297.0
161,333.0
162,325.0
163,340.0
164,347.0
165,340.0
166,300.0
167,352.0
168,365.0
169,350.0
170,336.0
171,364.0
172,317.0
173,294.0
174,291.0
175,324.0
176,319.0
177,367.0
178,343.0
179,349.0
180,323.0
181,277.0
182,320.0
183,317.0
184,313.0
185,330.0
186,330.0
187,334.0
188,309.0
189,346.0
190,376.0
191,394.0
192,320.0
193,311.0
194,343.0
195,352.0
196,296.0
197,323.0
198,302.0
199,381.0
200,342.0
201,337.0
202,334.0
203,351.0
204,333.0
205,338.0
206,315.0
207,376.0
208,287.0
209,338.0
210,308.0
211,319.0
212,337.0
213,366.0
214,330.0
215,355.0
216,334.0
217,347.0
218,370.0
219,326.0
220,343.0
221,307.0
222,313.0
223,328.0
224,342.0
225,339.0
226,321.0
227,317.0
228,347.0
229,332.0
230,368.0
231,325.0
232,387.0
233,303.0
234,347.0
235,324.0
236,353.0
237,381.0
238,317.0
239,305.0
240,325.0
241,310.0
242,342.0
243,333.0
244,312.0
245,328.0
246,349.0
247,353.0
248,330.0
249,334.0
250,292.0
251,366.0
252,339.0
253,314.0
254,269.0
255,315.0
256,347.0
257,324.0
258,317.0
259,341.0
260,360.0
261,304.0
262,349.0
263,309.0
264,320.0
265,318.0
266,306.0
267,305.0
268,324.0
269,347.0
270,349.0
271,361.0
272,299.0
273,362.0
274,328.0
275,353.0
276,289.0
277,313.0
278,328.0
279,384.0
280,346.0
281,332.0
282,353.0
283,344.0
